app,threads,aggregate,app_ms,compute_ms,ckpt_ms,speedup,compute_speedup,amdahl_serial_fraction
heat3d,1,single_rep,54776.0,22706.0,32036.0,1.0,1.0,0.6910769999999999
heat3d,2,single_rep,48486.0,16316.0,32135.0,1.1297281689559873,1.391640107869576,0.6910769999999999
heat3d,4,single_rep,42299.0,9760.0,32506.0,1.2949715123288967,2.326434426229508,0.6910769999999999
heat3d,8,single_rep,39183.0,6901.0,32249.0,1.3979531939871883,3.290247790175337,0.6910769999999999
heat3d,16,single_rep,38501.0,6169.0,32300.0,1.4227162930832966,3.680661371372994,0.6910769999999999
heat3d,32,single_rep,38765.0,6305.0,32427.0,1.4130272152715078,3.601268834258525,0.6910769999999999
matmul,1,median,520.5,398.0,121.5,1.0,1.0,0.333769
matmul,2,median,294.0,228.0,64.0,1.7704081632653061,1.7456140350877194,0.333769
matmul,4,median,283.0,112.0,172.0,1.8392226148409894,3.5535714285714284,0.333769
matmul,8,median,214.0,57.5,156.5,2.432242990654206,6.921739130434783,0.333769
